id;name;cell_code
76;Antoine-Labelle (C);122_92
77;Antoine-Labelle (D);122_94
165;Bellechasse (A);141_108
174;Brome-Missisquoi;142_91
147;D'Autray (B);136_95
151;Forêt Montmorency;137_111
18;Quévillon;105_101
32;Jamésie (Q);111_115
579;Kuujjuaq;86_180
573;Kuujjuuarapik;73_137
160;La Côte-de-Beaupré;139_111
201;La Côte-de-Gaspé (B);149_142
189;La Haute-Gaspésie;145_141
149;La Jacques-Cartier;137_107
191;La Matapédia (B);146_133
79;La Vallée-de-la-Gatineau (E);123_89
84;La Vallée-de-la-Gatineau (F);124_86
157;L'érable;139_103
102;ZEC Onatchiway;129_123
119;Lac Simoncouche;132_116
198;Le Granit (A);148_101
161;Le Haut-Saint-Laurent (C);139_87
134;Mékinac (B);135_104
48;Maria-Chapdelaine (C);115_120
96;Matawinie (D);128_100
169;Montmagny (A);142_111
390;Parc du Mont-St-Bruno;138_93
446;Salluit;48_181
495;Tasiujaq;80_175
574;Parc de Plaisance;130_87
100;Papineau (B);128_89
150;Parc de la Jacques-Cartier;137_110
88;Parc de la Pointe-Taillon;126_116
140;Parc des Grands-Jardins (B);136_114
141;Parc des Hautes-Gorges-de-la-Rivière-Malbaie;136_116
116;Parc des Monts-Valin;131_120
177;Parc du Lac Témiscouata (A);143_122
106;Parc du Mont-Tremblant;129_94
186;Parc Frontenac;145_102
578;Parc Kuururjuaq;94_192
75;Pontiac (E);122_83
228;Rouyn-Noranda (B);99_88
152;Sept-Rivières (C);137_144
14;Témiscamingue (C);103_87
